StateAbbreviation,StateName,Latitude,Longitude,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
NY,New York,41.507548,-74.645228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC,North Carolina,35.553334,-79.667654,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,1,2,0,0,3,4,1,5,2,7,4,5,4,0,0,0,0,0,0,0,0,0
ND,North Dakota,47.375168,-99.334736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,Ohio,40.480854,-82.749366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,7,4,5,2,2,5,8,5,3,3,1,0
OK,Oklahoma,35.59794,-96.834653,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,2,1,4,6,11,18,7,14,6,4,4,3,2,3,3,2,6,6,4,1
OR,Oregon,44.732273,-122.579524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,Pennsylvania,40.463528,-77.075925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,Rhode Island,41.753318,-71.448902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,South Carolina,34.034551,-81.032387,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,6,2,7,4,1,0,3,0,4,3,1,1,3,2,0,1,0,0,0,0
SD,South Dakota,44.047502,-99.043799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
TN,Tennessee,35.795862,-86.397772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0
TX,Texas,30.943149,-97.388631,0,0,0,0,0,1,0,3,6,10,6,3,4,4,5,12,17,14,19,3,37,20,35,40,17,33,24,23,19,24,26,18,24,17,13,15,16,10,13
UT,Utah,40.438987,-111.90016,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VT,Vermont,44.081127,-72.814309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,Virginia,37.750345,-77.835857,0,0,0,0,0,1,0,1,2,1,1,1,1,3,2,4,5,2,5,8,9,13,14,8,2,4,2,5,0,4,0,4,3,3,1,0,1,0,1
WA,Washington,47.341728,-121.624501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WV,West Virginia,38.767195,-80.820221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,Wisconsin,43.728544,-89.001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,Wyoming,42.675762,-107.008835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
